025CARTRIDGE,5.56 MILLIMETER1305-AA01Armor Piercing, M995, 200 RD belts w/M27 links, f/M249 SAW MG|A1305AA01
012BOMB,UTILITY1325-EB97BLU-111/B; 500 LB SIZE. LOADED. NTP. DWG/Part/Ref: 923AS692; CAGE: 30003|A1325EB97
012BOMB,UTILITY1325-EB98BLU-117/B, 2000LB. LOADED. NTP.  DWG/Part/Ref: 923AS691; CAGE: 30003|A1325EB98
016FUZE SYSTEM,BOMB1325-EB99AMMO EB99 REINSTATED ON 092609AMMO EB99 CANCELLED ON 103008 FMU-152A/B; ELECTRONIC TYPE; DWG/Part/Ref: 20014610; CAGE: 18894: EB99 has been cancelled and replaced by EC11 per I.M.|A1325EB99
027DISPENSER AND BOMB,AIRCRAFT1325-EC01SUBMUNITION, AUTONOMOUSLY GUIDED, ANTI-ARMOR plus DISPENSER. P/N 13609190-601; CAGE: 1D371|A1325EC01
025ELECTRONIC COMPONENT,BOMB1325-EC02P/N 3225989-2; Manufacturer 96214; Upgrade to 1325-EB53 item.|A1325EC02
027DISPENSER AND BOMB,AIRCRAFT1325-EC03Munition and Dispenser; Semi-Active Laser guidance.  P/N 13609200; CAGE 1D371|A1325EC03
027DISPENSER AND BOMB,AIRCRAFT1325-EC04Munition and Dispenser; Semi-Active Laser guidance.  Instrumented version of 1325-EC03.  Flight Data Recorder is used in place of warhead.  P/N 13609220; CAGE 1D371|A1325EC04
019BOMB,GUIDED,UTILITY1325-EC05P/N: 13609210; Part of 1325-EC03|A1325EC05
019BOMB,GUIDED,UTILITY1325-EC06P/N: 13609230; Part of 1325-EC04|A1325EC06
019INITIATOR,BOMB FUZE1325-EC07Used with FMU-143, item has a 2 inch loop in the lanyard rather than a 7 inch loop.  Part number 8983513-10 CAGE 18894.|A1325EC07
025LOOP,ARMING WIRE ASSEMBLY1325-EC08Lanyard Assembly used on EGBU-28.  P/N: 2002-18-001; CAGE: 1U5F4|A1325EC08
015BOMB,INCENDIARY1325-EC09BLU-119/B|A1325EC09
012ADAPTER,FUZE1325-EC10Mates the FMU-152/B to the GBU-15 or AGM-130.  P/N: 9331684: CAGE: 18894.|A1325EC10
016FUZE SYSTEM,BOMB1325-EC11FMU-152A/B.  Does not include adapter.  (For items with an adapter, see 1325-EB95.)|A1325EC11
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EC12This is a ballasted, inert version of WGU-39A/B; it is used on a GBU-24 or GBU-27.  P/N: 2229893-1; CAGE: 15090|A1325EC12
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EC13KMU-593/B  For use on GBU-43/B (MOAB).|A1325EC13
019BOMB,GUIDED,UTILITY1325-EC14GBU-43/B (MOAB) composed of KMU-593/B (tail/guidance set) and BLU-120/B (warhead)|A1325EC14
012BOMB,UTILITY1325-EC15BLU-120/B  For use on GBU-43/B (MOAB).|A1325EC15
025LOOP,ARMING WIRE ASSEMBLY1325-EC16Kevlar lanyard to be used with cluster bombs or general purpose bombs.  P/N: 20038707; CAGE: 18894.|A1325EC16
027DISPENSER AND BOMB,AIRCRAFT1325-EC17CBU-105(D-4)/B w/dispenser SUU-66/B|A1325EC17
027DISPENSER AND BOMB,AIRCRAFT1325-EC18CBU-103(D-4)/B  Composed of CBU-87(D-4)/B and WCMD Tail Kit.|A1325EC18
016FUZE SYSTEM,BOMB1325-EC19FMU-143K/B  For BLU series penetrating warhead.|A1325EC19
016FUZE SYSTEM,BOMB1325-EC20FMU-143L/B  For BLU series penetrating warhead.|A1325EC20
016FUZE SYSTEM,BOMB1325-EC21FMU-143M/B  For BLU series penetrating warhead.|A1325EC21
012BOMB,UTILITY1325-EC22BLU-121/B; BLU series penetrating warhead to defeat tunnel facilities, contains no filler.|A1325EC22
027DISPENSER AND BOMB,AIRCRAFT1325-EC23CBU-87(D-4)/B, contains ballast that exhibits the same end item weight, center of gravity, and moment of inertia as the CBU-87/B.|A1325EC23
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EC24WGU-43(D-2)C/B, inert version of WGU-43C/B for load crew training.|A1325EC24
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EC25WGU-43(D-2)D/B, inert version of WGU-43D/B for load crew training.|A1325EC25
015FIN,GUIDED BOMB1325-EC26Control fin assembly used on GBU-24B/B|A1325EC26
017FIN ASSEMBLY,BOMB1325-EC27P/N: 147006-1; CAGE: 94271; F/GBU-16.|A1325EC27
017FIN ASSEMBLY,BOMB1325-EC28P/N: 147306-1; CAGE: 94271; F/GBU-10.|A1325EC28
017FIN ASSEMBLY,BOMB1325-EC29P/N: 147206-1; CAGE: 94271; F/GBU-12.|A1325EC29
017FIN ASSEMBLY,BOMB1325-EC30MXU-667B/B; F/GBU-16|A1325EC30
017FIN ASSEMBLY,BOMB1325-EC31MXU-651B/B; F/GBU-10|A1325EC31
017FIN ASSEMBLY,BOMB1325-EC32MXU-650C/B; F/GBU-12|A1325EC32
028GUIDANCE SECTION,GUIDED BOMB1325-EC33MAU-209A/B; Non-NATO version of computer control group for PAVEWAY II laser guided bomb.|A1325EC33
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EC34MAU-169J(D-4)/B; Used for captive carry, ballistic (non-guided) drops and as load crew trainer for non-NATO countries.|A1325EC34
009FUZE,BOMB1325-EC35FUZE ASSEMBLY,BOMB,ELECTRONIC TYPE; Model FMU-139C/B; P/N: 28290000; CAGE: 66126|A1325EC35
009FUZE,BOMB1325-EC36FUZE ASSEMBLY,BOMB,ELECTRONIC TYPE; Model FMU-139C/B; P/N: 28290002; CAGE: 66126|A1325EC36
012BOMB,UTILITY1325-EC37MK 83 Mod 4 1000 lb, concrete filled, inert general purpose bomb, Low Drag, w/MS3314 Suspension Lugs Installed, w/o M73 Fuze Control ASSY.|A1325EC37
016FUZE SYSTEM,BOMB1325-EC38FUZE ASSEMBLY,BOMB, FMU 139B/B; P/N V39327.00; CAGE 66126|A1325EC38
009FUZE,BOMB1325-EC39FUZE ASSEMBLY,BOMB, FMU 139B/B; P/N V39372.00; CAGE 66126|A1325EC39
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EC40MAU-169H(D-2)/B|A1325EC40
015DUMMY FUZE,BOMB1325-EC41FUZE ASSEMBLY, FMU-139C(D-2)/B DUMMY NOSE & TAIL, ELECTRONIC TYPE. P/N: 1379AS980 CAGE: 30003|A1325EC41
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EC42MAU-169L/B|A1325EC42
028GUIDANCE SECTION,GUIDED BOMB1325-EC43KMU-556B/B|A1325EC43
028GUIDANCE SECTION,GUIDED BOMB1325-EC44KMU-556C/B|A1325EC44
028GUIDANCE SECTION,GUIDED BOMB1325-EC45KMU-557B/B|A1325EC45
028GUIDANCE SECTION,GUIDED BOMB1325-EC46KMU-557C/B|A1325EC46
028GUIDANCE SECTION,GUIDED BOMB1325-EC47KMU-558B/B|A1325EC47
028GUIDANCE SECTION,GUIDED BOMB1325-EC48KMU-558C/B|A1325EC48
028GUIDANCE SECTION,GUIDED BOMB1325-EC49KMU-559B/B|A1325EC49
028GUIDANCE SECTION,GUIDED BOMB1325-EC50KMU-559C/B|A1325EC50
028GUIDANCE SECTION,GUIDED BOMB1325-EC51KMU-572B/B|A1325EC51
028GUIDANCE SECTION,GUIDED BOMB1325-EC52KMU-572C/B|A1325EC52
019BOMB,GUIDED,UTILITY1325-EC53GBU-39/b; P/N: 70P992999-1001; CAGE: 76301|A1325EC53
009FUZE,BOMB1325-EC54FMU-143N/B; f/BLU-121/B Thermobaric and other Bombs. Identical to FMU-143B/B (18894-8983500) except for booster pellet (PBXN-11 explosive instead of Tetryl) and markings.|A1325EC54
028GUIDANCE SECTION,GUIDED BOMB1325-EC55Computer Control Group, MAU-209B/B, For Paveway II, Laser Guided Bomb.|A1325EC55
028GUIDANCE SECTION,GUIDED BOMB1325-EC56KMU-556/558(D-2)B LOAD TRAINER. DUAL TRAINER CONFIGURATION, (WHICH REDUCES STORAGE SPACE REQUIRED FOR THE NAVY.)|A1325EC56
019BOMB,GUIDED,UTILITY1325-EC57BOMB AND RACK,AIRCRAFT consisting of 4 small diameter bombs GBU-39/B, bomb rack BRU-61/A  and container CNU-660/E.|A1325EC57
010DUMMY BOMB1325-EC58GBU-39(D-2)/B Small Diameter Bomb; Totally inert; Used for Weapon Load Crew Training.|A1325EC58
010DUMMY BOMB1325-EC59BLU-122(D-1)/B Dummy Penetration Bomb, Totally Inert, Used For Bomb Buildup, Acft Certification, & Load Crew Training.|A1325EC59
016BOMB,PENETRATING1325-EC605,000 lb., BLU-122/B, filled with AFX-757 explosive, w/o Cable Assy, w/Suspension Lugs.|A1325EC60
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EC61WGU-36D/B; F/GBU-28C/B|A1325EC61
019CONVERSION KIT,BOMB1325-EC62BSG-92B/B; F/GBU-28C/B|A1325EC62
009BOMB,FIRE1325-EC63500 LB, MK77 Mod 6, Dry Filled|A1325EC63
012BOMB,UTILITY1325-EC64BLU-121A/B.  BLU series penetrating warhead to defeat tunnel facilities, contains AFX-757 explosive.|A1325EC64
013BOMB,PRACTICE1325-EC65BDU-61/B, 1000 LB SIZE, INERT LOADED.|A1325EC65
019BOMB,GUIDED,UTILITY1325-EC66GBU-39(T1)/b; W/Telemetry Tray in place of Warhead Explosive; P/N: 70T992604-1015; CAGE: 76301.|A1325EC66
009FUZE,BOMB1325-EC67FUZE ASSEMBLY, BOMB, FMU-139C/B, NOSE AND TAIL, ELECTRONIC TYPE W/CLOSURE RING; DWG/PART/REF: 1379AS970; CAGE: 30003.|A1325EC67
009FUZE,BOMB1325-EC68FUZE ASSEMBLY, BOMB, FMU-139C/B, NOSE AND TAIL, ELECTRONIC TYPE W/CLOSURE RING, W/POWER CABLE, FZU-48/B; DWG/PART/REF: 1379AS972; CAGE: 30003.|A1325EC68
012BOMB,UTILITY1325-EC69MK82 Mod 5, 500 LB Size. Low Drag, Inert Loaded.|A1325EC69
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EC70MAU-169L(D-5)B; P/N: 2252850-2; CAGE: 96214|A1325EC70
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EC71MAU-169L(D-4)B; P/N: 2252850-1; CAGE: 96214|A1325EC71
016BOMB,PENETRATING1325-EC72BLU-109B/B, PBXN-109 Explosive Filled, w/o Cable ASSY, w/Thermal Protection.|A1325EC72
027DISPENSER AND BOMB,AIRCRAFT1325-EC73CBU-116/B|A1325EC73
027DISPENSER AND BOMB,AIRCRAFT1325-EC74CBU-117/B|A1325EC74
027DISPENSER AND BOMB,AIRCRAFT1325-EC75CBU-118/B|A1325EC75
012BOMB,UTILITY1325-EC76MK82 Mod 5, 500 LB Size, Empty; Drawing No. 923AS411, CAGE 30003.|A1325EC76
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EC77WGU-36D(D-4)/B|A1325EC77
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EC78WGU-36B(D-2)/B|A1325EC78
017FIN ASSEMBLY,BOMB1325-EC79MXU-650E/B; Enhanced GBU-12 AFG.|A1325EC79
012BOMB,UTILITY1325-EC80BLU-111/B 500 LB SIZE.  W/CABLE ASSEMBLY, W/THERMAL PROTECTION REMOVED.|A1325EC80
012BOMB,UTILITY1325-EC81BLU-110/B 1000 LB SIZE. W/CABLE ASSEMBLY, W/THERMAL PROTECTION REMOVED.|A1325EC81
012BOMB,UTILITY1325-EC82MK84 MOD 8, 2000 LB SIZE, LOW DRAG, TRITONAL LOADED.|A1325EC82
012BOMB,UTILITY1325-EC83MK84 MOD 8, 2000 LB SIZE, EMPTY|A1325EC83
016FUZE SYSTEM,BOMB1325-EC84FMU-143P/B USED ON THE BLU-113 AND BLU-122 WARHEADS AND ALL GBU-28 WEAPON SYSTEMS.|A1325EC84
016FUZE SYSTEM,BOMB1325-EC85FMU-143Q/B USED ON THE BLU-113 AND BLU-122 WARHEADS AND ALL GBU-28 WEAPON SYSTEMS.|A1325EC85
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EC86GUIDANCE & CONTROL SECTION, GUIDED BOMB WGU-53/B, W/ADAPTER GROUP.|A1325EC86
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EC87MAU-169L(D-1)/B; P/N: 2252850-3|A1325EC87
017FIN ASSEMBLY,BOMB1325-EC88Configuration to utilize Nylon conduits with non JPF capable wing assembly. P/N: 2252686-4; CAGE: 15090|A1325EC88
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EC89MAU-210/B; P/N 2271634-4; PROVIDES GUIDANCE FOR GENERAL AND  SPECIAL PURPOSE BOMBS.|A1325EC89
027DISPENSER AND BOMB,AIRCRAFT1325-EC90CBU-105D/B|A1325EC90
027DISPENSER AND BOMB,AIRCRAFT1325-EC91CBU-105(D-2)/B; Composed of a Ballasted Dispenser with tail replaced with a Wind Corrected Munitions Dispenser (WCMD).|A1325EC91
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-EC92KMU-572C(D-2)/B; FOR WEAPONS LOAD TRAINING|A1325EC92
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-EC93KMU-557C(D-2)/B; FOR WEAPONS LOAD TRAINING|A1325EC93
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-EC94KMU-557(D-2)/B; FOR WEAPONS LOAD TRAINING|A1325EC94
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-EC95KMU-556C(D-2)/B; FOR WEAPONS LOAD TRAINING|A1325EC95
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-EC96KMU-559C(D-2)/B; FOR WEAPONS LOAD TRAINING|A1325EC96
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-EC97KMU-558C(D-2)/B; FOR WEAPONS LOAD TRAINING|A1325EC97
017FIN ASSEMBLY,BOMB1325-EC98MXU-667D/B; Dual-mode 1000 LB (MK83) GPS/INS and Laser Guided Bomb.|A1325EC98
032LUG,SUSPENSION,AIRCRAFT ORDNANCE1325-EC99LUG, SUSPENSION, BOMB, MK 6 MOD 2, BLACK, F/500 LB. MK 82/BLU-111 GP BOMB, FOR USE ON GBU-12F/B.|A1325EC99
012BOMB,UTILITY1325-ED01BLU-126/B 500 LB SIZE.|A1325ED01
012BOMB,UTILITY1325-ED02MK84 Mod 10, 2000 lb. Size, Empty, w/Vented Base Plate and no Suspension Lugs.|A1325ED02
017TAIL SECTION,BOMB1325-ED03WIND CORRECTING TAIL ASSEMBLY FOR THE CBU-103A/B, B/B; CBU-104A/B; CBU-105/B, A/B, B/B, C/B; CBU-107/B; CBU-116/B; CBU117/B AND CBU-118/B.  P/N: 75845003-059; CAGE: 04939 OR P/N: 75845003-099; CAGE: 04939.|A1325ED03
012BOMB,UTILITY1325-ED04MK84 MOD 11, 2000 LB SIZE, EMPTY.|A1325ED04
030COMPUTER,MISSILE-BOMB GUIDANCE1325-ED05MAU-210A/B;  FOR GBU-10, GBU-12 and GBU-16.  Provides Dual Laser and GPS guidance for target acquisition.  P/N: 2278129-1; CAGE: 15090.|A1325ED05
030COMPUTER,MISSILE-BOMB GUIDANCE1325-ED06MAU-210A(D-2)/B; For Load Crew Training; Totally Inert item;  P/N: 2278129-2; CAGE: 15090.|A1325ED06
015FIN,GUIDED BOMB1325-ED07BSU-88B/B AIRFOIL GROUP; P/N: 3230336; CAGE: 96214|A1325ED07
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-ED08P/N: 3226113-3; WGU-43H/B; F/ GBU-24; Uses both laser and GPS for target acquisition.|A1325ED08
012BOMB,UTILITY1325-ED09BLU-117B/B 2000 LB; LOADED.|A1325ED09
012BOMB,UTILITY1325-ED10BLU-117C/B 2000 LB; LOADED.|A1325ED10
019BOMB,GUIDED,UTILITY1325-ED11GBU-39A/B; P/N: 70P995600-1001; CAGE: 76301|A1325ED11
013BOMB,PRACTICE1325-ED12BDU-56A/B, 2000 LB.|A1325ED12
033DETECTOR,LASER ILLUMINATED TARGET1325-ED13DSU-38/B; P/N: 70P860210-1005; CAGE: 76301.|A1325ED13
033DETECTOR,LASER ILLUMINATED TARGET1325-ED14DSU-38(D-2)/B; P/N: 70P860098-1001; CAGE: 76301.|A1325ED14
012BOMB,UTILITY1325-ED15BLU-111B/B 500lb size, low drag, NON-Thermally Protected.|A1325ED15
012BOMB,UTILITY1325-ED16BLU-111C/B 500lb size, low drag, Thermally Protected.|A1325ED16
012BOMB,UTILITY1325-ED17MK82 Mod 6, 500 lb size, empty.|A1325ED17
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-ED18KMU-572A(D-2)/B; Load crew training|A1325ED18
019BOMB,GUIDED,UTILITY1325-ED19Viper Strike Bomb; P/N: 169K114; CAGE: 1D371|A1325ED19
017FIN ASSEMBLY,BOMB1325-ED20Airfoil Group, Guided Bomb for Enhanced GBU-12; P/N: 2278301-2; CAGE: 15090 MXU-650K/B|A1325ED20
030COMPUTER,MISSILE-BOMB GUIDANCE1325-ED21MAU-169J(D-1)/B; Computer Control Group, Guided Bomb, Dummy for GBU-10, GBU-12, GBU-16.|A1325ED21
030COMPUTER,MISSILE-BOMB GUIDANCE1325-ED22MAU-210B/B; Used on GBU-10, GBU-12, and GBU-16 Guided Bombs.|A1325ED22
028GUIDANCE SECTION,GUIDED BOMB1325-ED23Used on the EGBU-10, EGBU-12, and EGBU-16 Guided bombs. P/N: 2290353-1|A1325ED23
028GUIDANCE SECTION,GUIDED BOMB1325-ED24Inert trainer used on the EGBU-10, EGBU-12, and EGBU-16 Guided bombs. P/N: 2290353-2|A1325ED24
017FIN ASSEMBLY,BOMB1325-ED25BSU-86C/B. F/MK82 G.P.B.|A1325ED25
020BOMB,GUIDED,PRACTICE1325-ED26Viper Strike Bomb, Practice; P/N: 169K113; CAGE: 1D371|A1325ED26
017FIN ASSEMBLY,BOMB1325-ED27AIRFOIL GROUP,GUIDED BOMB W/JPF (NYLON CONDUIT); P/N: 2252686-5; CAGE: 15090|A1325ED27
016FUZE SYSTEM,BOMB1325-ED28FMU-143T/B; F/BLU-109 AND GBU-28|A1325ED28
016FUZE SYSTEM,BOMB1325-ED29FMU-143S/B; F/BLU-109 AND GBU-28|A1325ED29
016FUZE SYSTEM,BOMB1325-ED30FMU-143R/B; F/BLU-109 AND GBU-28|A1325ED30
019CONVERSION KIT,BOMB1325-ED31BSG-92C/B; W/ 1760 INTERFACE CABLE; F/ GBU-28D/B|A1325ED31
019CONVERSION KIT,BOMB1325-ED32BSG-92D/B; W/ IMPROVED GUIDANCE SYSTEM; F/ GBU-28E/B|A1325ED32
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-ED33WGU-36E/B; F/ GBU-28D/B AND GBU-28E/B|A1325ED33
017FIN ASSEMBLY,BOMB1325-ED34Airfoil Group, Guided Bomb, MXU-651D/B, used with Dual-Mode 2000 LB (BLU109) GPS/INS and Laser Guided Bomb.|A1325ED34
017FIN ASSEMBLY,BOMB1325-ED35Airfoil Group, Guided Bomb, MXU-1006/B, used with MK 81 General Purpose Bomb; MAU-169 (A/B,D/B,E/B,G/B,H/B,J/B,and L/B).|A1325ED35
017FIN ASSEMBLY,BOMB1325-ED36Airfoil Group, Guided Bomb, MXU-651E/B, part of GBU-50.|A1325ED36
012BOMB,UTILITY1325-ED37MK83 MOD-7, 1000 LB. SIZE, LOW DRAG, EMPTY BODY ASSY.|A1325ED37
017FIN ASSEMBLY,BOMB1325-ED38Airfoil Group, Guided Bomb, MXU-650H/B; Goes with Enhanced Control Computer Group.|A1325ED38
036SWIVEL AND LOOP ASSEMBLY,ARMING WIRE1325-ED39P/N  9330920; FOR THE FMU-143F/B, G/B AND THE H/G FUZES|A1325ED39
025LOOP,ARMING WIRE ASSEMBLY1325-ED40P/N  200612201-10; FOR USE ON BLU-122 FUZE|A1325ED40
012BOMB,UTILITY1325-ED41BLU-110B/B, 1000 LB SIZE, LOADED, NON-THERMALLY PROTECTED|A1325ED41
012BOMB,UTILITY1325-ED42BLU-110C/B, 1000 LB SIZE, LOADED, THERMALLY PROTECTED|A1325ED42
030COMPUTER,MISSILE-BOMB GUIDANCE1325-ED43MAU-210B(D-1)/B; FULLY INERT SYSTEM; USED ON GBU-10, GBU-12 AND GBU-16 GUIDED BOMBS.|A1325ED43
032BOMB,SPECIAL PURPOSE,PENETRATING1325-ED44BLU-121B/B; 2,000 LBS BOMB W/ REINFORCED STEEL CASE|A1325ED44
033RECEIVER-TRANSMITTER,GUIDANCE SET1325-ED45RECEIVER-TRANSMITTER, GUIDANCE SETS; F/CONUS USE; F/GBU-15|A1325ED45
033RECEIVER-TRANSMITTER,GUIDANCE SET1325-ED46RECEIVER-TRANSMITTER, GUIDANCE SETS; F/CONUS USE; F/AGM-130C|A1325ED46
019INITIATOR,BOMB FUZE1325-ED47P/N: 20065505; FZU-63/B; USED ON FMU-152A/B|A1325ED47
019BOMB,GUIDED,UTILITY1325-ED484 GBU-39A/B SDB; BRU-61/A CARRIAGE; CNU-660/E CONTAINER|A1325ED48
016BOMB,PENETRATING1325-ED49BLU-109C/B; explosive filler AFX-757|A1325ED49
017FIN ASSEMBLY,BOMB1325-ED50For FMS only; MXU-650J/B; Identical to the MXU-650G/B except for a modification to the wing assembly to accommodate the WiPAK module.|A1325ED50
016FUZE SYSTEM,BOMB1325-ED51FMU-152A/B; new initiator FZU-63/B enables the fuze to arm at slower airspeeds.|A1325ED51
016FUZE SYSTEM,BOMB1325-ED52FMU-152B/B; new initiator FZU-63/B enables the fuze to arm at slower airspeeds.|A1325ED52
019BOMB,GUIDED,UTILITY1325-ED53GBU-44/E GPS Guided|A1325ED53
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-ED54KMU-556(D-4)/B; Load Crew Training|A1325ED54
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-ED55KMU-558(D-4)/B; Load Crew Training|A1325ED55
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-ED56KMU-572(D-4)/B; Load Crew Training|A1325ED56
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-ED57KMU-559(D-4)/B; Load Crew Training|A1325ED57
028GUIDANCE SECTION,GUIDED BOMB1325-ED58Computer Control Group,MAU-209C/B, For Paveway II, Laser Guided Bomb.|A1325ED58
019BOMB,GUIDED,UTILITY1325-ED59GBU-44/E; Viper Strike E Bomb; P/N-201K200G01; CAGE: 1D371|A1325ED59
012BOMB,UTILITY1325-ED60Bomb, General Purpose, Low Collateral Damage, 500 Pounds, Loaded, Thermally Protected BLU-126A/B|A1325ED60
027DISPENSER AND BOMB,AIRCRAFT1325-ED61Submunitions Dispenser Assembly; Launched from C-130 ACFT; P/N: 030451-30; CAGE: 18894|A1325ED61
009FUZE,BOMB1325-ED62FMU-169B; Electrical Safe and Arm Fuze (ESAF) originally developed for the Small Diameter Bomb (SDB-1). Interface is via serial interface (no switch Setting).|A1325ED62
012GUIDANCE SET1325-ED63KMU-612A/B; Guidance set for the GBU-57A/B Massive Ordnance Penetrator.|A1325ED63
032BOMB,SPECIAL PURPOSE,PENETRATING1325-ED64BLU-127A/B; 25925 pound conventional penetrating warhead designed to destroy very hard and deeply buried targets. Used for GBU-57A/B Massive Ordnance Penetrator (MOP).|A1325ED64
030COMPUTER,MISSILE-BOMB GUIDANCE1325-ED65MAU-210E/B; For GBU-48/49/50; For FMS.|A1325ED65
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-ED66MAU-210B/B; For GBU-10/12/16; For FMS.|A1325ED66
016ADAPTER KIT,BOMB1325-ED67BLU-109 Joint Direct Attack Munition, Fuze Retainer Ring and Protective Cap, FMU-143 Kit.|A1325ED67
013BOMB,PRACTICE1325-ED68Bomb, Inert; For Massive Ordnance Penetrator (MOP) Tactical B-2; P/N: 007A041160-1001; CAGE: 76301|A1325ED68
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-ED69Guidance, Inert; For Massive Ordnance Penetrator (MOP) Tactical B-2; P/N: 007A041600-1005; CAGE: 76301|A1325ED69
013BOMB,PRACTICE1325-ED70Bomb, Inert; For Massive Ordnance Penetrator (MOP) Tactical B-2; P/N: 007A041260-1001; CAGE: 76301|A1325ED70
018FUZE,BOMB,PRACTICE1325-ED71Inert Bomb Fuze; For Massive Ordnance Penetrator (MOP) Tactical B-2; P/N: 31310195-01; CAGE: 15980|A1325ED71
016BOMB,PENETRATING1325-ED72For Massive Ordnance Penetrator (MOP) Tactical B-2; P/N: 007A041140-1003; CAGE: 76301|A1325ED72
016BOMB,PENETRATING1325-ED73Bomb case for BLU-109C/B, empty, no explosive material.|A1325ED73
020ARMING WIRE ASSEMBLY1325-ED74Lanyard Assembly; For FMU-143F/B, G/B, H/B Fuzes.|A1325ED74
015DUMMY FUZE,BOMB1325-ED75FMU-152B(D-2)/B; P/N: 20097430; CAGE: 18894|A1325ED75
013BOMB,PRACTICE1325-ED76BDU-33D/B Practice Bomb Assembly; P/N: 201026575-10; CAGE: 98747|A1325ED76
015DUMMY FUZE,BOMB1325-ED77Initiator, Trainer, Dummy, FZU-63(D-2)/B; P/N: 20097225; CAGE: 18894|A1325ED77
012BOMB,UTILITY1325-ED78Bomb Assy, General Purpose, 500 Pound, BLU-129/B, Loaded. P/N: 20107103-010; CAGE: 98747|A1325ED78
015DUMMY FUZE,BOMB1325-ED79FMU-152A(D-2)/B; INCLUDES FZU-63(D-2)/B|A1325ED79
013BOMB,PRACTICE1325-ED80BOMB,PRACTICE: BDU-61A/B, 1000 LB INERT|A1325ED80
016BOMB,PENETRATING1325-ED81BLU-109D/B, AFX-757 LOADED, THERMALLY PROTECTED, 2000 LB PENETRATOR BOMB. P/N: 923AS840, CAGE: 98747|A1325ED81
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-ED82Telemtry Kit for GBU-28C/B; Part number: 2278114-1; CAGE: 15090|A1325ED82
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-ED83Telemtry Kit for GBU-28D/B; Part number: 2278114-2; CAGE: 15090|A1325ED83
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-ED84Telemetry Kit for GBU-28E/B; PN: 2278114-3; CAGE: 15090|A1325ED84
036DISPENSER AND BOMB,TRAINING,AIRCRAFT1325-ED85DISPENSER AND BOMB, TRAINING, AIRCRAFT; CBU-87 (T-7) USED FOR AIRCRAFT LOAD CREW TRAINING. P/N: 28205922; CAGE: 18894|A1325ED85
019BOMB,GUIDED,UTILITY1325-ED86BOMB,GUIDED,GENERAL PURPOSE; Guided Bomb, Small Diameter Bomb, 250 pounds; Part Number: 70P993396-1025; CAGE: 76301|A1325ED86
016FUZE SYSTEM,BOMB1325-ED87Fuze System, Bomb Inert FMU-143K(D-2)/B; Part Number: 790AS113; CAGE: 30003|A1325ED87
016FUZE SYSTEM,BOMB1325-ED88Fuze System, Bomb Inert FMU-143L(D-2)/B; Part Number: 790AS101; CAGE: 30003|A1325ED88
016FUZE SYSTEM,BOMB1325-ED89Fuze System, Bomb Inert FMU-143M(D-2)/B; Part Number: 790AS102; CAGE: 30003|A1325ED89
019BOMB,GUIDED,UTILITY1325-ED90INC 61877  FIIG A23900  Type Designator GBU-53/B The Small Diameter Bomb Increment II (SDB II) incorporates a Tri-mode seeker with Millimeter Wave (MMW) radar, uncooled longwave Imaging Infrared (IIR) and Semiactive Laser (SAL) capabilities. The The Small Diameter Bomb Increment II (SDB II) will interface with the BRU-61/A Minature Munitions Carriage System.                    CAGE 15090  P/N 2268100-1  250 lb Class Miniature Munition Item is cylindrical: with wings deployed 69.3 IN width; with fins 19-26 IN width diameter.|A1325ED90
012BOMB,UTILITY1325-ED91BOMB,GENERAL PURPOSE; MK 82 MOD 7; PART NUMBER:923AS1081; CAGE:30003|A1325ED91
